iter	Logloss	Accuracy
0	0.6804510789	0.7615803815
1	0.6629777718	0.855585831222	0.6453571033	0.846049046333	0.6269709257	0.851498634	44	0.6116732645	0.8419618555	5	0.6008821598	0.85013626	6	6	0.5917615068	0.85149867	7	7	0.5761924115	0.852861088	08	0.5650190826	0.84877389	09	0.5610753649	0.8460490410	10	0.5487071474	0.848773841111	0.5409239893	0.8514986312	12	0.532737992	0.8542234331313	0.5237175453	0.8542234331414	0.5177539674	0.8583106261515	0.5106598706	0.8528610351616	0.5040278168	0.8623978201717	0.4988355863	0.8651226118	18	0.4936494567	0.8623978219	19	0.4838572745	0.8623978220	20	0.4798514943	0.8623978221	21	0.4736960784	0.862397822	022	0.4680047672	0.866485023	023	0.4657058222	0.858310624	024	0.4607347439	0.863760225	25	0.453377767	0.8678474112626	0.4476639059	0.8651226127	27	0.442928835	0.8678474112828	0.4371809217	0.8692098092929	0.4326051479	0.8664850133030	0.4302931985	0.8651226153131	0.4248065094	0.8746594003232	0.4221722325	0.8760217983333	0.4183026508	0.878746594334	0.4148260474	0.8746594003535	0.4123334485	0.8746594003636	0.4098736358	0.8746594003737	0.4065034674	0.8746594003838	0.4039480778	0.8732970039	39	0.4019814528	0.8732970040	40	0.397340424	0.8746594004141	0.3938447645	0.8732970024242	0.3887679523	0.8705722074343	0.3856988943	0.8760217984444	0.384157904	0.8746594005445	0.3811644969	0.8732970027446	0.3796262373	0.8719346049447	0.3783461804	0.8732970024848	0.3765956683	0.8746594004949	0.3747647355	0.8746594005050	0.3724393388	0.8732970025151	0.3704485167	0.8746594005252	0.3690948704	0.8760217985353	0.3676967535	0.8760217985454	0.365348061	0.8773841962555	0.3640597555	0.8760217984556	0.3625656658	0.8773841962557	0.3613260411	0.8773841962558	0.3588953278	0.878746594
59	0.3585557848	0.8801089918
60	0.3575488966	0.8801089918
61	0.3559268088	0.8814713896
62	0.3539939827	0.8801089918
63	0.3528564401	0.8841961853
64	0.3523569341	0.8801089918
65	0.3512202255	0.8814713896
66	0.3503284168	0.878746594
67	0.3496245786	0.878746594668	0.3490172298	0.8773841966969	0.3479636906	0.8773841967070	0.3468905418	0.8773841967171	0.3459422165	0.878746594772	0.3449920409	0.878746594
73	0.3444297773	0.878746594
74	0.3442220212	0.878746594
75	0.3433293545	0.8760217984
76	0.3426441269	0.8773841962
77	0.3418438535	0.8773841962
78	0.3403591779	0.8760217984
79	0.3394069579	0.8760217984
80	0.3390847167	0.8773841962881	0.3377025185	0.8760217984882	0.3377025101	0.8760217984883	0.336923185	0.8760217984
84	0.3355102051	0.8760217984885	0.3350988001	0.8760217984886	0.334420634	0.8773841962887	0.3333570576	0.8773841962888	0.3325856775	0.878746594
