iter	Passed	Remaining
0	28	28358
1	46	23188
2	63	21255
3	77	19230
4	89	17751
5	102	16917
6	113	16156
7	127	15750
8	140	15433
9	152	15080
10	164	14767
11	176	14545
12	188	14344
13	200	14124
14	212	13986
15	224	13824
16	236	13691
17	249	13605
18	260	13462
19	272	13350
20	284	13249
21	296	13159
22	307	13074
23	319	12987
24	331	12917
25	343	12851
26	354	12775
27	366	12715
28	377	12650
29	389	12577
30	400	12527
31	412	12474
32	424	12435
33	436	12390
34	448	12355
35	460	12337
36	472	12305
37	486	12321
38	500	12328
39	513	12317
40	526	12303
41	538	12288
42	551	12280
43	563	12250
44	575	12216
45	588	12197
46	600	12174
47	612	12146
48	624	12119
49	637	12103
50	649	12089
51	661	12059
52	674	12050
53	686	12024
54	698	11997
55	710	11973
56	721	11935
57	732	11904
58	746	11904
59	757	11866
60	768	11830
61	780	11808
62	793	11794
63	805	11775
64	816	11746
65	829	11731
66	840	11707
67	852	11682
68	863	11657
69	875	11630
70	887	11611
71	898	11586
72	910	11563
73	955	11952
74	969	11963
75	983	11956
76	999	11981
77	1015	12009
78	1031	12022
79	1047	12041
80	1067	12113
81	1084	12145
82	1101	12170
83	1120	12223
84	1152	12403
85	1249	13278
86	1267	13302
87	1288	13352
88	1300	13316
89	1312	13273
90	1324	13232
91	1336	13190
92	1349	13158
93	1361	13122
94	1373	13088
95	1386	13053
96	1398	13015
97	1410	12978
98	1422	12946
99	1434	12907
100	1446	12877
101	1459	12849
102	1471	12813
103	1484	12786
104	1496	12753
105	1510	12736
106	1522	12705
107	1534	12673
108	1546	12640
109	1558	12609
110	1571	12582
111	1583	12552
112	1594	12518
113	1608	12501
114	1620	12473
115	1633	12446
116	1655	12491
117	1669	12478
118	1683	12465
119	1698	12455
120	1713	12446
121	1725	12418
122	1736	12381
123	1749	12357
124	1760	12326
125	1773	12299
126	1785	12270
127	1797	12242
128	1810	12224
129	1823	12200
130	1836	12179
131	1849	12161
132	1862	12138
133	1874	12115
134	1887	12092
135	1899	12065
136	1912	12047
137	1927	12037
138	1941	12024
139	1956	12018
140	1971	12011
141	1986	12000
142	2003	12009
143	2017	11994
144	2031	11976
145	2042	11947
146	2055	11928
147	2069	11912
148	2084	11903
149	2098	11889
150	2110	11867
151	2124	11851
152	2136	11829
153	2150	11813
154	2162	11789
155	2174	11762
156	2186	11737
157	2197	11709
158	2209	11687
159	2222	11667
160	2235	11650
161	2249	11638
162	2262	11618
163	2275	11601
164	2288	11583
165	2302	11569
166	2317	11559
167	2330	11542
168	2344	11529
169	2359	11519
170	2375	11514
171	2388	11497
172	2401	11481
173	2414	11462
174	2425	11436
175	2438	11417
176	2451	11396
177	2463	11377
178	2476	11358
179	2489	11339
180	2500	11314
181	2512	11293
182	2524	11269
183	2535	11246
184	2548	11225
185	2561	11208
186	2574	11192
187	2587	11174
188	2599	11156
189	2614	11146
190	2628	11131
191	2641	11117
192	2656	11107
193	2670	11093
194	2682	11075
195	2695	11057
196	2708	11040
197	2721	11023
198	2735	11009
199	2748	10992
200	2760	10975
201	2774	10960
202	2788	10947
203	2801	10930
204	2813	10910
205	2826	10894
206	2839	10879
207	2852	10861
208	2865	10845
209	2878	10828
210	2894	10825
211	2910	10817
212	2925	10808
213	2940	10799
214	2956	10795
215	2973	10791
216	2990	10791
217	3005	10782
218	3019	10767
219	3032	10750
220	3044	10730
221	3057	10715
222	3069	10696
223	3108	10767
224	3127	10774
225	3142	10762
226	3156	10747
227	3170	10733
228	3182	10715
229	3195	10697
230	3207	10679
231	3221	10663
232	3234	10646
233	3247	10632
234	3261	10616
235	3273	10595
236	3285	10577
237	3298	10560
238	3311	10544
239	3324	10528
240	3338	10513
241	3352	10501
242	3366	10486
243	3380	10473
244	3395	10462
245	3407	10445
246	3420	10427
247	3432	10409
248	3444	10389
249	3456	10370
250	3469	10352
251	3481	10333
252	3492	10310
253	3504	10292
254	3518	10280
255	3532	10267
256	3548	10258
257	3562	10244
258	3575	10229
259	3588	10213
260	3603	10203
261	3617	10188
262	3631	10175
263	3643	10158
264	3657	10144
265	3670	10127
266	3680	10105
267	3693	10087
268	3705	10069
269	3717	10052
270	3730	10034
271	3741	10014
272	3754	9998
273	3767	9981
274	3779	9962
275	3792	9948
276	3805	9933
277	3817	9915
278	3830	9898
279	3843	9882
280	3855	9864
281	3870	9854
282	3883	9839
283	3897	9827
284	3910	9810
285	3923	9795
286	3935	9777
287	3950	9766
288	3965	9757
289	3978	9740
290	3990	9722
291	4003	9708
292	4015	9690
293	4031	9681
294	4049	9677
295	4066	9670
296	4079	9656
297	4091	9638
298	4104	9623
299	4117	9608
300	4128	9588
301	4141	9571
302	4154	9557
303	4166	9539
304	4179	9524
305	4194	9512
306	4209	9502
307	4224	9491
308	4238	9477
309	4254	9469
310	4273	9467
311	4288	9456
312	4304	9447
313	4317	9433
314	4333	9424
315	4345	9405
316	4357	9388
317	4370	9372
318	4382	9355
319	4394	9337
320	4406	9320
321	4418	9302
322	4429	9285
323	4441	9267
324	4454	9250
325	4466	9234
326	4478	9216
327	4489	9198
328	4501	9181
329	4513	9163
330	4525	9146
331	4536	9127
332	4548	9110
333	4559	9092
334	4572	9075
335	4584	9059
336	4595	9041
337	4608	9025
338	4622	9013
339	4637	9001
340	4649	8985
341	4662	8970
342	4673	8952
343	4685	8935
344	4697	8918
345	4709	8901
346	4721	8885
347	4733	8867
348	4745	8851
349	4757	8834
350	4769	8819
351	4782	8803
352	4794	8787
353	4806	8770
354	4818	8754
355	4829	8737
356	4841	8720
357	4853	8704
358	4865	8687
359	4877	8671
360	4889	8655
361	4903	8642
362	4917	8629
363	4928	8611
364	4940	8595
365	4952	8579
366	4964	8563
367	4976	8546
368	4988	8530
369	5000	8514
370	5011	8497
371	5024	8482
