iter	Logloss	Accuracy
0	0.676893849	0.8137254902
1	0.6634228101	0.8333333333
2	0.6511707535	0.8224400871
3	0.6324020731	0.8333333333
4	0.6222129982	0.8529411765
5	0.6044495625	0.8529411765
6	0.5902186544	0.848583878
7	0.5844009973	0.8605664488
8	0.5718211748	0.8540305011
9	0.5589230164	0.8572984749
10	0.5491609605	0.8507625272
11	0.5385795489	0.8605664488
12	0.531157881	0.8671023965
13	0.5198800617	0.8660130719
14	0.5136819208	0.8681917211
15	0.5057369843	0.8671023965
16	0.4992874793	0.8681917211
17	0.491359294	0.8649237473
18	0.4860736989	0.8681917211
19	0.4791742299	0.871459695
20	0.4731220907	0.8681917211
21	0.4663203774	0.8671023965
22	0.4616756178	0.871459695
23	0.4529844773	0.8725490196
24	0.4465569225	0.871459695
25	0.440655158	0.8703703704
26	0.438747357	0.8681917211
27	0.4349668187	0.871459695
28	0.4293071732	0.8692810458
29	0.4258489778	0.871459695
30	0.4213206638	0.871459695
31	0.4170401919	0.871459695
32	0.4142442929	0.871459695
33	0.410902459	0.8681917211
34	0.4071947013	0.8736383442
35	0.4042554623	0.8747276688
36	0.4009210323	0.8747276688
37	0.3982472722	0.8769063181
38	0.3936982213	0.8769063181
39	0.3903950148	0.8736383442
40	0.3889363869	0.8769063181
41	0.3875214187	0.8769063181
42	0.3848669533	0.8779956427
43	0.3824039808	0.8779956427
44	0.3811539923	0.8747276688
45	0.3794682677	0.8758169935
46	0.3774206995	0.8747276688
47	0.3744459795	0.8747276688
48	0.3730747735	0.8747276688
49	0.3705426136	0.8758169935
50	0.369478523	0.8747276688
51	0.3672532629	0.8769063181
52	0.3658170837	0.8769063181
53	0.3642010101	0.8758169935
54	0.3630165391	0.8769063181
55	0.3607795006	0.8801742919
56	0.3594467506	0.8801742919
57	0.3581290847	0.8790849673
58	0.3563503747	0.8801742919
59	0.3551718064	0.8801742919
60	0.3545819794	0.8779956427
61	0.3534402186	0.8801742919
62	0.3521553053	0.8779956427
63	0.3512327219	0.8779956427
64	0.3509031416	0.8779956427
65	0.3498562264	0.8790849673
66	0.3492089887	0.8779956427
67	0.3483690343	0.8790849673
68	0.3477902241	0.8790849673
69	0.3467626663	0.8790849673
70	0.3451502191	0.8790849673
71	0.3441470294	0.8801742919
72	0.3429859474	0.8801742919
73	0.3416030239	0.8801742919
74	0.3409138564	0.8779956427
75	0.3409133106	0.8779956427
76	0.3402435455	0.8790849673
77	0.3390042743	0.8779956427
78	0.3384977216	0.8769063181
79	0.3379627258	0.8779956427
80	0.3372821554	0.8779956427
81	0.3363801903	0.8801742919
82	0.3356710117	0.8801742919
83	0.3350205042	0.8801742919
84	0.334510486	0.8801742919
85	0.3339208428	0.8801742919
86	0.3333398772	0.8812636166
87	0.3323794352	0.8812636166
88	0.3314443898	0.8812636166
89	0.3309774381	0.8812636166
90	0.3307409265	0.8812636166
91	0.3289834746	0.8801742919
92	0.3280861587	0.8812636166
93	0.3274470757	0.8801742919
94	0.3269350948	0.8801742919
95	0.3262551655	0.8801742919
96	0.3259089707	0.8801742919
97	0.3259089511	0.8801742919
98	0.3259089476	0.8801742919
99	0.3252434179	0.8834422658
100	0.324653067	0.8823529412
101	0.3234670653	0.8834422658
102	0.3228543285	0.8845315904
103	0.3226844084	0.8845315904
104	0.3218191758	0.8845315904
105	0.3218190709	0.8845315904
106	0.3211206376	0.8834422658
107	0.3206593109	0.8834422658
108	0.320154056	0.8834422658
109	0.3198420968	0.8834422658
110	0.3192880908	0.8845315904
111	0.3189497826	0.885620915
112	0.3187536442	0.8867102397
113	0.3182188331	0.8867102397
114	0.3176329067	0.8867102397
115	0.3172655603	0.885620915
116	0.3165618365	0.885620915
117	0.3156134252	0.885620915
118	0.3149328796	0.8867102397
119	0.3147319396	0.8867102397
120	0.3144265487	0.8867102397
121	0.3141425361	0.885620915
122	0.3138857781	0.8867102397
123	0.3135650539	0.8867102397
124	0.3129023045	0.885620915
125	0.3122212632	0.885620915
126	0.3122212066	0.885620915
127	0.3117266987	0.8877995643
128	0.3112230625	0.8867102397
129	0.3107254915	0.8888888889
130	0.3101501085	0.8877995643
131	0.3097753288	0.8877995643
132	0.3093623956	0.8888888889
133	0.3085510222	0.8888888889
134	0.3083530597	0.8877995643
135	0.3079653277	0.8877995643
136	0.3076003894	0.8888888889
137	0.3069068415	0.8888888889
138	0.3066631259	0.8888888889
139	0.3060867984	0.8877995643
140	0.3057756796	0.8888888889
141	0.3056714731	0.8888888889
142	0.3050726291	0.8888888889
143	0.3049309327	0.8888888889
144	0.3047205155	0.8888888889
145	0.3045388193	0.8888888889
146	0.3042451224	0.8888888889
147	0.3039159141	0.8888888889
148	0.3034201234	0.8888888889
149	0.3030475974	0.8888888889
150	0.302706326	0.8888888889
151	0.3025348622	0.8877995643
152	0.3020711661	0.8888888889
153	0.3018369972	0.8888888889
154	0.3014849619	0.8888888889
155	0.3014577897	0.8888888889
156	0.3013087043	0.8888888889
157	0.3009433103	0.8888888889
158	0.3005026527	0.8888888889
159	0.3003857142	0.8888888889
160	0.3002662619	0.8888888889
161	0.3000117352	0.8888888889
162	0.299699424	0.8888888889
163	0.2994827647	0.8888888889
164	0.2993273615	0.8888888889
165	0.299230285	0.8888888889
166	0.2991186376	0.8888888889
